		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000    2    4    2    1    0    2    3    1  5.635568 0.687978 SUCCESS  76
100101000    7    5    0    3    5    4    2    6 23.651349 0.002621 FAILURE  77
100110000    2    2    2    2    2    2    3    5  3.408006 0.906211 SUCCESS  78
100111000    2    3    5    3    1    1    2    1  5.824233 0.666913 SUCCESS  79
101000000    1    3    3    1    0    5    1    3  8.303347 0.404413 SUCCESS  80
101000100    4    0    1    5    3    3    3    1  8.492011 0.386941 SUCCESS  81
101001000    2    5    4    0    2    4    1    1  9.276457 0.319514 SUCCESS  82
101001100    0    2    2    0    2    3    2    2  5.509792 0.701955 SUCCESS  83
101010000    2    3    4    4    2    3    1    1  4.255341 0.833382 SUCCESS  84
101010100    1    1    1    3    3    4    1    2  4.851122 0.773363 SUCCESS  85
101011000    1    2    1    0    2    4    0    1  8.773353 0.361775 SUCCESS  86
101011100    3    2    2    4    3    0    4    2  5.102675 0.746548 SUCCESS  87
101100000    2    1    1    3    6    4    2    4  9.528010 0.299727 SUCCESS  88
101100100    2    3    1    0    2    1    3    1  5.509792 0.701955 SUCCESS  89
101101000    3    4    2    0    2    3    2    3  4.192453 0.839356 SUCCESS  90
101101100    6    3    2    2    5    2    4    0 12.132900 0.145372 SUCCESS  91
101110000    4    3    2    4    3    0    2    3  5.165563 0.739743 SUCCESS  92
101110100    2    1    2    0    0    3    1    1  7.863131 0.446953 SUCCESS  93
101111000    4    3    1    3    3    4    0    1  6.734455 0.565535 SUCCESS  94
101111100    5    1    5    2    2    3    5    4 10.626896 0.223749 SUCCESS  95
110000000    5    4    0    3    4    2    1    1  9.339345 0.314483 SUCCESS  96
110000010    2    0    1    5    2    2    4    4  8.492011 0.386941 SUCCESS  97
110000100    3    5    4    2    5    3    6    5 15.240895 0.054627 SUCCESS  98
110001000    3    1    2    0    1    4    2    5  8.366235 0.398537 SUCCESS  99
110001010    4    1    4    0    2    2    4    2  6.734455 0.565535 SUCCESS 100
110010000    3    2    1    1    1    2    4    1  4.788234 0.779952 SUCCESS 101
110010010    2    3    2    4    4    2    1    3  3.470895 0.901437 SUCCESS 102
110010100    2    5    1    1    3    3    2    6 10.375344 0.239663 SUCCESS 103
110011000    3    6    1    1    2    4    2    3  8.617787 0.375557 SUCCESS 104
110011010    2    4    2    2    1    1    1    2  3.940900 0.862416 SUCCESS 105
110100000    1    2    1    2    2    2    1    2  2.967790 0.936363 SUCCESS 106
110100010    5    3    6    2    3    4    7    4 19.540454 0.012222 SUCCESS 107
110100100    1    3    4    1    0    3    0    2  8.114683 0.422349 SUCCESS 108
110101000    0    1    0    6    4    1    2    1 14.108910 0.078971 SUCCESS 109
